Segment,Tline Type,Max Length Segment (mm),Max Length Segment Note
BO1,MS,2,Total BO1+BO2+BO3 should be less than or equal to 14mm max
BO2,SL,8.5,
BO3,SL,6.2,
M,SL,,
BI,MS,2,
