Segment,Tline Type,Max Length Segment (mm),Max Length Segment Note
BO1,MS,0.5,
BO2,SL,4.5,
BO3,SL,,10-BO2
M,SL,,
BI1,SL,5.5,
BI2,MS,0.6,
