Trace,Tline Type,Routing,I/O,Trace Width (um),Intra-Pair (um),S - ES,S - Non-ES,Z (Default),Z (Min),Z (Max),A,"K, S - ES","K, S - Non-ES"
B*,MS,"1, 10",(Internal) eUSB2V2,81,88,300,300,93,,,-0.92,-0.167,0.318
B*,SL,"3, 6, 8",(Internal) eUSB2V2,75,88,300,300,75,,,-0.87,0.015,0.015
B*,DSL,"5, 6",(Internal) eUSB2V2,75,88,300,300,88,,,-0.75,0.134,0.134
M*,MS,"1, 10",(Internal) eUSB2V2,120,90,750,500,80,,,-0.86,-0.065,0.109
M*,SL,"3, 6, 8",(Internal) eUSB2V2,72,140,450,500,80,,,-0.87,0.001,0
M*,DSL,"5, 6",(Internal) eUSB2V2,105,120,450,500,80,,,-0.7,0.018,0.009
