Trace,Tline Type,Routing,I/O,Trace Width (um),Intra-Pair (um),S - ES,S - Non-ES,Z (Default),Z (Min),Z (Max),A,"K, S - ES","K, S - Non-ES"
M*,MS,"1, 10",UFS,110,100,500,500,80,,,-0.89,-0.14,0.1
B*,SL,"3, 8",UFS,60,70,200,375,81,,,-0.916,0.113,0.002
B*,SL,6,UFS,70,75,200,375,80,,,-0.83,0.24,0.01
M*,SL,"3, 8",UFS,75,115,375,375,80,,,-0.87,0.002,0.002
M*,SL,6,UFS,80,120,375,375,80,,,-0.78,0.01,0.01
