Trace,Tline Type,Routing,I/O,Trace Width (um),Intra-Pair (um),S - ES,S - Non-ES,Z (Default),Z (Min),Z (Max),A,"K, S - ES","K, S - Non-ES"
M*,MS,"1, 10",UFS,120,90,500,500,80,,,-0.86,-0.14,0.11
B*,MS,"1, 10",UFS,81,88,375,375,93,,,-0.92,-0.15,0.18
B*,DSL,3,UFS,75,88,375,375,87,,,-0.75,0.06,0.06
M*,DSL,"3, 4",UFS,100,120,375,375,80,,,-0.71,0.06,0.06
B*,SL,"6, 8",UFS,75,88,375,375,78,,,-0.83,0.006,0.006
M*,SL,"6, 8",UFS,80,130,375,375,80,,,-0.8,0.01,0.01
