Trace,Tline Type,Routing,I/O,Trace Width (um),Intra-Pair (um),S - ES,S - Non-ES,Z (Default),Z (Min),Z (Max),A,"K, S - ES","K, S - Non-ES"
M*,SL,12,PCIe Gen 5,94,90,500,500,80,,,,,
M*,MS,"1, 8",UFS,115,95,500,500,80,,,-0.91,-0.15,0.11
B*,MS,"1, 8",UFS,81,88,375,375,91,,,-0.97,-0.16,0.18
B*,DSL,3,UFS,75,88,375,375,87,,,-0.83,0.16,0.16
B*,DSL,4,UFS,75,88,375,375,99,,,-0.72,0.34,0.34
M*,DSL,3,UFS,105,115,375,375,80,,,-0.78,0.17,0.17
M*,DSL,4,UFS,140,85,375,375,80,,,-0.66,0.32,0.32
B*,SL,"3, 6",UFS,75,88,375,375,78,,,-0.9,0.006,0.006
M*,SL,"3, 6",UFS,80,140,375,375,80,,,-0.88,0.006,0.006
