Segment,Tline Type,Max Length Segment (mm),Max Length Segment Note
BO1,MS,6.2,
BO2,SL,2,
M,SL,,
TL1,MS,5,
TL2,MS,4,
TL3,SL,30,
BI1,MS,0.7,
BI2,SL,17,
